Customer,ATM ID,Address,City,Site,Start Date Time,Action Code,Status Code,Status Description,Comments,Reference Number,Ticket ID
Oki - BNRMs for SBI           ,L000174626,SAMASTIPUR                                        ,SAMASTIPUR          ,ONSITE                        ,23/10/2022 13:24:00,18,331521,SLM- Zero With Drawl                                                                                ,"10/29/2022  00:26  RR  ^TO 10/28/2022  06:29  RR  ^TO 10/27/2022  01:11  RR  ^TO 10/26/2022  01:43  RR  ^# SPARE CARD READER REQ AT SITE DISCUSSED WITH TSS RAMESH AND CE FOUND THE MC IS WORKING BUT ADMIN CARD NOT WORKING HENCE CHECK THE CARD REDAER HEAD IS WRN OUT HENCE ARRNAGING THE CARD READER AND CHECK THE POWER IS ABNORMAL PN229, NE1, PE1, HENCE POST RESLOVE THE POWER ISSUE WE WILL ARRANGE THE CARD RAEDER FOR THIS SITE
10/25/2022  12:08  EP  Visit the site working progress 
10/25/2022  00:20  RR  ^ TO 10/24/2022  17:00  JAS 10/24/2022  16:59  JAS  Long Pending Operational Call - Discussed with OKI Faritha to check for closure and same to update in portal on priority.

10/24/2022  01:30  RR  ^ Call Accepted by BTS - CE MANTU KUMAR
10/23/2022  13:31  SP  Escalated to OKI Helpdesk Akshay will check and update . Emal Sent 
10/23/2022  13:24  SP  As per Branch Person Ajit Jha 7011416178 Need SLM Log for Card Reader not working confirmed with Eng Mantu 7739150048. Today access is available till 17.00Hrs & tomorrow till 16.00Hrs $ T10232022562282611",562282611      ,183852282
Oki - BNRMs for SBI           ,L000193622,TAMLUK                                            ,TAMLUK              ,ONSITE                        ,24/10/2022 17:13:00,6,331516,SLM -Receipt Printer                                                                                ,"10/29/2022  01:33  RR  ^ETA has been updated by OIPL - CE MADHUSUDHANJANA 25/11/2022 12:30:00
10/28/2022  07:23  RR  TO 10/27/2022  01:12  RR  ^Today visit  and ETA has been updated by OIPL - CE MADHUSUDHANJANA 26/10/2022 13:10:00
10/26/2022  01:43  RR  ^ TO 10/25/2022  00:20  RR  ^ TO 10/24/2022  17:13  SGP RP Roll need to be replenish by engineer instructed by oki harpreet sir BP  8001665935T10242022562545705",replenish      ,183861924
Oki - BNRMs for SBI           ,L000205622,NEW ALIPORE                                       ,KOLKATA             ,ONSITE                        ,26/10/2022 17:42:00,6,331516,SLM -Receipt Printer                                                                                ,"10/29/2022  01:27  RR  ^TO 10/28/2022  07:23  RR  ^TO 10/27/2022  01:12  RR  ^Slm on the module
10/26/2022  17:42  SGP RP Roll need to be replenish by engineer instructed by oki harpreet BP  9674713464  : T10262022563438805
",replenish      ,183887859
Oki - BNRMs for SBI           ,L000219623,IND ESTATE IND                                    ,IND ESTATE IND      ,ONSITE                        ,29/10/2022 04:07:00,47,330334,Reject Bin Overfill                                                                                 ,"10/29/2022  09:26  SD  Ticket has been Informed  to Branch person 9651150264  for FLM activity
",INFORMED       ,183918935
Oki - BNRMs for SBI           ,L000240623,PATTI                                             ,PATTI               ,ONSITE                        ,28/10/2022 16:00:00,4,331304,Earthing Problem                                                                                    ,"10/29/2022  09:49  SGP  As discussed with CMS santosh 9455660412  to arrange electrician on priority as per him today they are arranging the same will update accordingly same escalated to CMATM sir 
10/28/2022  17:45  SGP As discussed with CMS santosh 9455660412  to arrange electrician on priority as per him arranging the same will update accordingly 
10/28/2022  16:01  SP    engineer visited and founded there is electrical issue i.e. high earthing issue at site 27V same informed to bank person till issue resolution machine kept off condition. same email sent branch official /CM.",Earthing       ,183913565
Oki - BNRMs for SBI           ,L000260622,SECOND ATM HIREKERUR                              ,HIREKERUR           ,ONSITE                        ,28/10/2022 22:06:00,8,331266,ATM Shutdown -Card reader faults                                                                    ,"10/29/2022  09:15  AS  as^Ticket has been Informed  to Branch person 7975574733  for FLM activity
",informed       ,183917264
Oki - BNRMs for SBI           ,L000282621,SBI KANKAVALI CDM                                 ,KANKAVLI            ,ONSITE                        ,28/10/2022 23:06:00,47,330334,Reject Bin Overfill                                                                                 ,"10/29/2022  09:15  SD  Ticket has been Informed  to Branch person 7738381361  for FLM activity
",INFORMED       ,183917486
Oki - BNRMs for SBI           ,L000286621,SBI MANGRULPIR BR ASAWA                           ,WASHIM              ,ONSITE                        ,29/10/2022 09:49:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  09:49  ST   As per branch person 8830705385 call been logged for cdf issue same been discussed with engineer 8381000353 ETA is today 2 PM --- ST    Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact :8830705385       Engineer Contact :8381000353          Branch Availability :9-6 PM ;Fault in ESQ : CashAcceptorFaults ; Machine Status :Down 
   T10292022564170388  ETA is  2  PM",2564170388     ,183920863
Oki - BNRMs for SBI           ,L000311622,SBI AMRAVATI MAIN BRANCH                          ,AMRAVATI            ,ONSITE                        ,29/10/2022 01:06:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,10/29/2022  09:33  RRP Ticket has been dispatched  to Branch person 9989635307 for FLM activity,informed       ,183917672
Oki - BNRMs for SBI           ,L000339624,ONSITE BHARUCH                                    ,BHARUCH             ,ONSITE                        ,14/10/2022 13:35:00,4,331309,ATM Site Under Renovation                                                                           ,"10/28/2022  18:02  JBP Tried to calling branch person 9179680932 and  channel manager Sunil sir 9687808454 but not answering the call hence unable to confirm CCTV 
10/28/2022  10:06  JBP discussed with channel manager Sunil sir 9687808454 the work is still not completed. and ETA also not conifrmed . Tried to calling DGM Pradeeep sir 9823330663 but no is busy and CMLCC Kothari sir 9909036867 not answering the call.hence discussed with Engineer Mr Yogi : 8200572237 all the connection are done yesterday night only . only testing is pending today it will get done 
10/27/2022  17:27  SL  @ As discussed with Engineer Mr Yogi : 8200572237 as per he has attend but the issue Not resolved Spare Required # Cable  Same the Concern Team arranging Soon 
10/27/2022  13:46  ST   engineer is working at site.
10/27/2022  13:15  SL  @ As discussed with channel manager Sunil sir 9687808454 CCTV installtion work still not Same He following with Concern team  
10/27/2022  10:38  MM  discussed with channel manager Sunil sir 9687808454 CCTV installtion work still not completed due to festival is going on it will get complete once branch will be open
10/26/2022  10:15  SGP discussed with channel manager Sunil sir 9687808454 CCTV installtion work still not completed due to festival is going on it will get complete once branch will be open 
10/25/2022  16:06  JBP discussed with channel manager Sunil sir 9687808454 CCTV installtion work still not completed due to festival is going on it will get complete by wednesday once branch oepn
10/24/2022  16:07  JBP discussed with channel manager Sunil sir 9687808454 CCTV installtion work is not completed yet it will complete by Tuesday on 26 th Oct only
10/21/2022  17:48  JBP discussed with channel manager Sunil sir 9687808454 CCTV installtion work is not completed yet it will complete by Tuesday on 26 th Oct only
10/21/2022  13:04  JBP  discused with channel manager Sunil sir 9687808454 work is completed but CCTV installtion wrok is going on . if today work get complete till EDO they will make machine operational today itsefl otherwise it wil make inactive . tried to calling branch person 9179680932 but not answering the call
10/20/2022  10:11  JBP Discusse with branch person 9179680932 still renovation work is not completed it will take anoehr 1-2 days tried to calling channel manager Sunil sir 9687808454  but not answering the call. Call escalated to DGM Pradeep sir 9823330663 he will take up
10/19/2022  10:12  JBP Discusse with branch person 9179680932 still renovation work is not completed it will take anoehr 2-3 days Same escalated to AGM Jain sir 7600070630. he will take up with branch 
10/18/2022  09:56  JBP Discussed with channel manager Sunil sir 9687808454 renovation work in still going on expected to get work complete by 20th Oct 
10/17/2022  10:02  JBP Discussed with channel manager Sunil sir 9687808454 work still in progress . it will get compelte by 20th Oct. Call escalated to CMLCC Kothari sir 8238144455 it will take cometime to compelte the renovation work. 
10/16/2022  14:02  ST   to 10/15/2022  10:43  JBP Discussed with channel manager Sunil sir 9687808454 renovation work still under progress and it wil take near by 5-7 days .
10/14/2022  14:32  SD  s confirmed by you - 9179680932 due to renovation is going on hence ccaptioned CDM machine is kept down for next 2 to 3 days same mail sent to branch 

10/14/2022  13:46  RC  Ticket has been dispatched  to Branch person 8511143667 for FLM activity",RENOVATION     ,183739807
Oki - BNRMs for SBI           ,L000398623,KALOL N G                                         ,KALOL               ,ONSITE                        ,29/10/2022 00:08:00,47,330334,Reject Bin Overfill                                                                                 ,"a10/29/2022  09:19  AS  s^Ticket has been Informed  to Branch person 7600068167  for FLM activity
",informed       ,183917567
Oki - BNRMs for SBI           ,L000443622,SBI MAIN BRANCH                                   ,PALANPUR            ,ONSITE                        ,28/10/2022 19:05:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,"10/29/2022  09:21  RRP Ticket has been Informed  to Branch person 7600036508  for FLM activity
",informed       ,183916281
Oki - BNRMs for SBI           ,L000535625,SBI DEHGAM BR ATM                                 ,DEHGAM              ,ONSITE                        ,28/10/2022 14:54:00,4,331279,Electric Problem                                                                                    ,"10/28/2022  17:22  JBP  Discussed with branch accountant 7016253963 channel manager asked to keep machine down hence they evacuted cash and keep down & as per CMS Kapadia sir 7600033975 due to electrial & cabling issue machine need to keeep down. tomorrow it will get complete
10/28/2022  16:47  AS  as^Ticket has been Informed  to Branch person 7600038462  for FLM activity-
10/28/2022  14:49  SNP Ticket has been dispatched  to Branch person 7600038462 for FLM activity
",informed       ,183912503
Oki - BNRMs for SBI           ,L000538622,INAMDARWADA                                       ,RAIGAD              ,ONSITE                        ,28/10/2022 20:52:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  00:26  RR  ^Call Accepted by OIPL - CE AKSHAY MANCHEKAR
10/28/2022  20:52  DR  @ As per Branch Person 9870865916 / 8655878310 need to call log for CDF issue remote support done same confirmed with Engineer 8180905290 # SLM Docket :- T10282022564124879
",564124879      ,183916958
Oki - BNRMs for SBI           ,L000610622,AMROHA                                            ,AMROHA              ,ONSITE                        ,29/10/2022 06:01:00,34,331261,ATM has been DISCONNECTED                                                                           ,"10/29/2022  09:03  AS  as^Ticket has been Informed  to Branch person 8795833382  for FLM activity
",informed       ,183919038
Oki - BNRMs for SBI           ,L000615628,BAREILLY MAIN BRANCH                              ,BAREILLY MAIN BRANCH,ONSITE                        ,29/10/2022 00:05:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,"a10/29/2022  09:18  AS  s^Ticket has been Informed  to Branch person 7055111186  for FLM activity
",informed       ,183917547
Oki - BNRMs for SBI           ,L000639622,FAZILKA                                           ,FAZILKA (M CL)      ,ONSITE                        ,28/10/2022 15:31:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  09:55  JBP I TRIED TO REACH OIPL DASHMI NOT RESPONDING THE CALL AND OIPL SPARE HEAD SHASHI SIR ON LEAVE TILL 31 OCT-22 AND WHEN HE DISCUSSED YESTERDAY TOLD THAT ACCEPT THE DASHMI COMMENT BUT STILL WE HAVE NOT GET ANY CONFIRMATION FROM DASHMI REGARDING THIS SITE. 
10/29/2022  00:27  RR  ^TO 10/28/2022  17:15  EP  At site RU error 63E9 is showing , already visited two times for RU and same was discussed with mr. Sameer that if error persisits again then RU will be arrange. already updated in previous calls...
10/28/2022  16:48  EP Engineer ETA Awaited, call escalated to Faritha
10/28/2022  15:32  ST   As per branch person 9417981004  call been loggd for cdf issue same been discussed with engineer 8194890500  --ST       Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact :  9417981004      Engineer Contact :  8194890500         Branch Availability :9-6 PM ;Fault in ESQ : CashAcceptorFaults ; Machine Status :Down 
  T10282022564021720",564021720      ,183913169
Oki - BNRMs for SBI           ,L000643622,SUAR                                              ,SUAR                ,ONSITE                        ,25/10/2022 10:59:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  00:27  RR  ^TO 10/28/2022  11:11  EP  Spare Required # ( Bucket )-- Call has been escalted to oki Sattar sir as the given ETA is too high and not accepted
10/27/2022  15:57  SP  Spare Required # ( Bucket )- Call Escalated to OKI Prashant Sir to revised ETA he will get this check and confirm
10/27/2022  13:17  SP   Spare Required # ( Bucket )- Call Escalated to OKI Roshani to revised the ETA as shared ETA not acceptable
10/27/2022  11:26  SP  Spare Required # ( Bucket )-  Spare Required # ( Bucket )- Call Escalated to OKI Sahil to revised the ETA as shared ETA not acceptable
0/26/2022  16:34  SP  -Spare Required # ( Bucket )The spare is arranged from Lucknow FSL and site eta is on 29th oct 22 @12.00Hrs
10/26/2022  11:29  SP  Spare Required # ( Bucket )- EDD :29 Oct 2022 12:00Hrs
10/26/2022  01:47  RR  ^TO 10/25/2022  16:05  SGP Visited the site found the error 0362 then check the bucket of bill press mis aling and remove the bucket and replace the gears and clean the sc and pi sensor also but issue not resolved same inform to TSS Ravi and Mukesh ji ,him suggest the cal park in l2, according to l2 all snap send,then arrange the bucket at side.same discussed with oki team for update 
10/25/2022  14:16  SGP CE still working onsite L2 team support in process
10/25/2022  12:01  SGP CE parsoon is working onsite 
10/25/2022  10:59  SGP As per branch personBr Person : Shri Gaurav ji:  8826799775 call been logged for cdf issue same been discussed with engineer Prashun : 9759615757 --St  Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact :   8826799775    Engineer Contact 9759615757 :         Branch Availability :9-6 PM ;Fault in ESQ : CashAcceptorFaults ; Machine Status :Down 
Docket no  T10252022562755114
",2562755114     ,183868376
Oki - BNRMs for SBI           ,L000654621,SBI OPP JAGADHARI BUS STAND                       ,                    ,ONSITE                        ,11/09/2022 18:13:00,6,330373,Paper Out                                                                                           ,,,183395190
Oki - BNRMs for SBI           ,L000755623,TIRUPAPULIYUR                                     ,TIRUPAPULIYUR       ,ONSITE                        ,29/10/2022 08:06:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,"10/29/2022  09:20  AS  as^Ticket has been Informed  to Branch person 9445862204  for FLM activity
",informed       ,183920293
Oki - BNRMs for SBI           ,L000774622,SRIPERUMBUDUR MAIN                                ,SRIPERUMBUDUR       ,ONSITE                        ,28/10/2022 10:27:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  00:27  RR  ^TO 10/28/2022  17:09  SL  @ Spare Required # UPPER PCB  ETA Awaited 
10/28/2022  15:23  SL  @ ENGINEER VINOTH 7208957231 IS WORKING ON SITE
10/28/2022  13:47  SL  @  As per CE WILL REACH THE SITE TODAY 28-10-22 AT 15.00 HRS
10/28/2022  12:35  SL  @ On the way at site  and ETA has been updated by OIPL - CE VINOTH 28/10/2022 13:30:00
10/28/2022  11:13  SL  @ Call Accepted by OIPOn the way at site  and ETA has been updated by OIPL - CE VINOTH 28/10/2022 13:30:00L - CE VINOTH
10/28/2022  10:27  ST   As per branch person 9092534017 call been logged for cdf issue same confirned with engineer 7400436479 --ST    Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact : 9092534017      Engineer Contact :   7400436479       Branch Availability :9-6 PM ;Fault in ESQ : CashAcceptorFaults ; Machine Status :Down T1028202256388288
",56388288       ,183908415
Oki - BNRMs for SBI           ,L000793624,ARKONAM                                           ,ARKONAM             ,ONSITE                        ,28/10/2022 22:07:00,47,330334,Reject Bin Overfill                                                                                 ,"10/29/2022  09:15  AS  as^Ticket has been Informed  to Branch person 9443384266  for FLM activity
",informed       ,183917273
Oki - BNRMs for SBI           ,L000819624,BIJAPUR                                           ,BIJAPUR             ,ONSITE                        ,28/10/2022 20:41:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,"10/29/2022  09:23  RRP Ticket has been Informed  to Branch person 9448973025  for FLM activity
",informed       ,183916889
